Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
213459,2020-09-04 21:53:05,3598304579370089,fraud_Stamm-Rodriguez,misc_pos,8.96,Vincent,Flowers,M,0189 Emily Prairie,Wichita,KS,67232,37.6395,-97.1714,409656,Heritage manager,1985-12-27,401bf7c82284f81a21d0f0c5654d7220,1378331585,37.982106,-97.223183,0
304627,2020-10-13 23:59:11,2242542703101233,fraud_Jaskolski-Vandervort,misc_net,314.33,Samuel,Jenkins,M,43235 Mckenzie Views Apt. 837,Westport,KY,40077,38.4921,-85.4524,564,Pensions consultant,1996-04-10,ced0c22880533ecd4ab960645c6ba4e0,1381708751,39.007087,-86.006625,0
431833,2020-12-04 21:29:17,4707867759656333,fraud_Johns Inc,entertainment,10.75,Susan,Shah,F,9016 Jordan Bypass Apt. 516,Cranks,KY,40820,36.7558,-83.1838,581,"Psychologist, counselling",1967-02-04,a562d2a51c2396252b7a64df7f082b9f,1386192557,36.170518,-83.569875,0
233373,2020-09-13 15:47:43,5559857416065248,fraud_Reilly and Sons,health_fitness,119.55,Jack,Hill,M,5916 Susan Bridge Apt. 939,Grenada,CA,96038,41.6125,-122.5258,589,Systems analyst,1945-12-21,da3601c6cbc108510633a81536289d9a,1379087263,42.440539,-122.637866,0
480763,2020-12-15 04:39:41,180040027502291,fraud_Miller-Hauck,grocery_pos,308.23,Mary,Schmidt,F,022 Moore Island,New York City,NY,10162,40.7699,-73.9511,1577385,Audiological scientist,1957-12-29,4f00c663533435c8c732d02681792a6d,1387082381,41.763902,-74.740054,1
100690,2020-07-26 17:08:41,3583293909206278,fraud_Nolan-Williamson,kids_pets,212.47,Deborah,Fisher,F,1911 Fisher Brook,Kirtland Afb,NM,87117,35.0203,-106.5503,310,"Surveyor, land/geomatics",1978-09-30,2d9965683060d694055711a76fad3beb,1374858521,35.414656,-106.038265,0
419509,2020-12-01 14:58:08,180049032966888,fraud_Kassulke Inc,entertainment,61.9,Michael,Flores,M,70761 Fitzpatrick Brooks Suite 631,Saxon,WI,54559,46.4959,-90.4383,795,Television/film/video producer,1986-04-15,1e6a8513a8d0a64ee80fcc103156ed8b,1385909888,46.761207,-91.144999,0
328030,2020-10-25 05:37:13,6011917798331152,fraud_Ankunding LLC,shopping_net,1.04,William,Johnson,M,50843 Vincent Mission,South Londonderry,VT,5155,43.1699,-72.8515,828,Scientific laboratory technician,1957-08-30,474a05496080227c941cf21d731717c8,1382679433,42.405612,-73.55435200000001,0
459519,2020-12-10 17:40:29,3543591270174051,fraud_Lesch Ltd,shopping_pos,7.99,Margaret,Lam,F,6911 Nicholas Keys Apt. 237,Armagh,PA,15920,40.4603,-79.0097,922,Early years teacher,1972-10-04,c150ec56bf32127faf2a610295166749,1386697229,40.35603,-78.52795400000001,0
488869,2020-12-16 23:49:29,639046421587,fraud_Terry-Huel,shopping_net,1158.64,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",1986-06-20,f73e97a4f59f9c0ffc90ffc9deede858,1387237769,40.843626,-80.706604,1
